published_at,weekday,hour,minute,location_id,location,facility,count,capacity,pct,is_closed,collected_at
2026-09-07T14:45:42.637,0,14,45,10163,50m Pool,Aquatics,2,45,4.4,False,2026-09-08T22:35:11+00:00
2026-09-08T17:03:53.963,1,17,3,9712,Cardio Gallery,Facility Operations,29,89,32.6,False,2026-09-08T22:35:11+00:00
2026-09-08T17:03:54.727,1,17,3,10596,Strength Training,Facility Operations,48,90,53.3,False,2026-09-08T22:35:11+00:00
2026-09-08T17:03:55.713,1,17,3,11558,Jungle Annex,Facility Operations,19,36,52.8,False,2026-09-08T22:35:11+00:00
2026-09-08T17:03:56.697,1,17,3,9721,Indoor Track,Facility Operations,16,50,32.0,False,2026-09-08T22:35:11+00:00
2026-09-08T16:12:29.007,1,16,12,10220,Brewer Courts,Facility Operations,0,50,0.0,True,2026-09-08T22:35:11+00:00
2026-09-08T16:12:29.76,1,16,12,9720,South Courts,Facility Operations,0,40,0.0,False,2026-09-08T22:35:11+00:00
2026-09-08T16:12:30.6,1,16,12,9722,North Courts,Facility Operations,9,40,22.5,False,2026-09-08T22:35:11+00:00
2026-09-08T16:12:31.397,1,16,12,9717,Weight Room,Facility Operations,35,55,63.6,False,2026-09-08T22:35:11+00:00
2026-09-08T16:12:32.18,1,16,12,9718,Climbing Wall,Facility Operations,0,8,0.0,False,2026-09-08T22:35:11+00:00
2026-09-08T16:12:32.947,1,16,12,9728,Boxing Gym,Facility Operations,1,16,6.2,False,2026-09-08T22:35:11+00:00
2026-09-08T16:12:33.9,1,16,12,9727,Functional Fitness,Facility Operations,2,10,20.0,False,2026-09-08T22:35:11+00:00
2026-09-08T14:30:43.14,1,14,30,9731,Outdoor Fitness,Facility Operations,4,45,8.9,False,2026-09-08T22:35:11+00:00
2026-09-08T19:42:26.143,1,19,42,10163,50m Pool,Aquatics,36,45,80.0,False,2026-09-09T01:26:16+00:00
2026-09-08T20:22:52.17,1,20,22,9712,Cardio Gallery,Facility Operations,23,89,25.8,False,2026-09-09T01:26:16+00:00
2026-09-08T20:22:52.937,1,20,22,10596,Strength Training,Facility Operations,38,90,42.2,False,2026-09-09T01:26:16+00:00
2026-09-08T20:22:53.877,1,20,22,11558,Jungle Annex,Facility Operations,14,36,38.9,False,2026-09-09T01:26:16+00:00
2026-09-08T20:22:54.64,1,20,22,9721,Indoor Track,Facility Operations,14,50,28.0,False,2026-09-09T01:26:16+00:00
2026-09-08T20:22:56.91,1,20,22,10220,Brewer Courts,Facility Operations,35,50,70.0,False,2026-09-09T01:26:16+00:00
2026-09-08T20:22:57.657,1,20,22,9720,South Courts,Facility Operations,2,40,5.0,False,2026-09-09T01:26:16+00:00
2026-09-08T20:22:58.46,1,20,22,9722,North Courts,Facility Operations,22,40,55.0,False,2026-09-09T01:26:16+00:00
2026-09-08T20:22:59.267,1,20,22,9717,Weight Room,Facility Operations,31,55,56.4,False,2026-09-09T01:26:16+00:00
2026-09-08T20:23:00.143,1,20,23,9718,Climbing Wall,Facility Operations,2,8,25.0,False,2026-09-09T01:26:16+00:00
2026-09-08T20:23:00.913,1,20,23,9728,Boxing Gym,Facility Operations,2,16,12.5,False,2026-09-09T01:26:16+00:00
2026-09-08T20:23:01.643,1,20,23,9727,Functional Fitness,Facility Operations,3,10,30.0,False,2026-09-09T01:26:16+00:00
2026-09-08T20:23:02.63,1,20,23,9731,Outdoor Fitness,Facility Operations,8,45,17.8,False,2026-09-09T01:26:16+00:00
2026-09-08T21:39:12.043,1,21,39,10163,50m Pool,Aquatics,24,45,53.3,False,2026-09-09T02:54:09+00:00
2026-09-09T06:55:19.147,2,6,55,10163,50m Pool,Aquatics,0,45,0.0,True,2026-09-09T11:59:46+00:00
2026-09-09T07:42:06.58,2,7,42,9712,Cardio Gallery,Facility Operations,22,89,24.7,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.58,2,7,42,10596,Strength Training,Facility Operations,34,90,37.8,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.58,2,7,42,11558,Jungle Annex,Facility Operations,12,36,33.3,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.58,2,7,42,9721,Indoor Track,Facility Operations,17,50,34.0,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.6,2,7,42,10220,Brewer Courts,Facility Operations,0,50,0.0,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.6,2,7,42,9720,South Courts,Facility Operations,0,40,0.0,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.61,2,7,42,9722,North Courts,Facility Operations,0,40,0.0,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.61,2,7,42,9717,Weight Room,Facility Operations,22,55,40.0,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.61,2,7,42,9718,Climbing Wall,Facility Operations,0,8,0.0,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.61,2,7,42,9728,Boxing Gym,Facility Operations,3,16,18.8,False,2026-09-09T12:42:22+00:00
2026-09-09T07:42:06.61,2,7,42,9727,Functional Fitness,Facility Operations,2,10,20.0,False,2026-09-09T12:42:22+00:00
2026-09-09T10:16:22.58,2,10,16,9712,Cardio Gallery,Facility Operations,21,89,23.6,False,2026-09-09T15:20:17+00:00
2026-09-09T10:16:23.623,2,10,16,10596,Strength Training,Facility Operations,38,90,42.2,False,2026-09-09T15:20:17+00:00
2026-09-09T10:16:24.357,2,10,16,11558,Jungle Annex,Facility Operations,15,36,41.7,False,2026-09-09T15:20:17+00:00
2026-09-09T10:16:25.437,2,10,16,9721,Indoor Track,Facility Operations,18,50,36.0,False,2026-09-09T15:20:17+00:00
2026-09-09T10:12:22.973,2,10,12,10220,Brewer Courts,Facility Operations,1,50,2.0,False,2026-09-09T15:20:17+00:00
2026-09-09T10:12:23.757,2,10,12,9720,South Courts,Facility Operations,0,40,0.0,False,2026-09-09T15:20:17+00:00
2026-09-09T10:12:24.553,2,10,12,9722,North Courts,Facility Operations,3,40,7.5,False,2026-09-09T15:20:17+00:00
2026-09-09T10:12:25.35,2,10,12,9717,Weight Room,Facility Operations,21,55,38.2,False,2026-09-09T15:20:17+00:00
2026-09-09T10:12:26.147,2,10,12,9718,Climbing Wall,Facility Operations,0,8,0.0,False,2026-09-09T15:20:17+00:00
2026-09-09T10:12:26.927,2,10,12,9728,Boxing Gym,Facility Operations,0,16,0.0,False,2026-09-09T15:20:17+00:00
2026-09-09T10:12:27.897,2,10,12,9727,Functional Fitness,Facility Operations,0,10,0.0,False,2026-09-09T15:20:17+00:00
2026-09-09T10:12:28.677,2,10,12,9731,Outdoor Fitness,Facility Operations,9,45,20.0,False,2026-09-09T15:20:17+00:00
2026-09-09T13:07:55.783,2,13,7,9712,Cardio Gallery,Facility Operations,14,89,15.7,False,2026-09-09T18:19:44+00:00
2026-09-09T13:07:56.787,2,13,7,10596,Strength Training,Facility Operations,42,90,46.7,False,2026-09-09T18:19:44+00:00
2026-09-09T13:07:57.537,2,13,7,11558,Jungle Annex,Facility Operations,14,36,38.9,False,2026-09-09T18:19:44+00:00
2026-09-09T13:07:58.44,2,13,7,9721,Indoor Track,Facility Operations,26,50,52.0,False,2026-09-09T18:19:44+00:00
2026-09-09T12:13:20.18,2,12,13,10220,Brewer Courts,Facility Operations,4,50,8.0,False,2026-09-09T18:19:44+00:00
2026-09-09T12:13:21.097,2,12,13,9720,South Courts,Facility Operations,0,40,0.0,False,2026-09-09T18:19:44+00:00
2026-09-09T12:13:21.83,2,12,13,9722,North Courts,Facility Operations,1,40,2.5,False,2026-09-09T18:19:44+00:00
2026-09-09T12:13:22.533,2,12,13,9717,Weight Room,Facility Operations,16,55,29.1,False,2026-09-09T18:19:44+00:00
2026-09-09T12:13:23.22,2,12,13,9718,Climbing Wall,Facility Operations,0,8,0.0,True,2026-09-09T18:19:44+00:00
2026-09-09T12:13:24.067,2,12,13,9728,Boxing Gym,Facility Operations,0,16,0.0,False,2026-09-09T18:19:44+00:00
2026-09-09T12:13:24.753,2,12,13,9727,Functional Fitness,Facility Operations,5,10,50.0,False,2026-09-09T18:19:44+00:00
2026-09-09T12:13:25.457,2,12,13,9731,Outdoor Fitness,Facility Operations,5,45,11.1,False,2026-09-09T18:19:44+00:00
2026-09-09T14:05:24.483,2,14,5,9712,Cardio Gallery,Facility Operations,28,89,31.5,False,2026-09-09T19:13:18+00:00
2026-09-09T14:05:25.233,2,14,5,10596,Strength Training,Facility Operations,34,90,37.8,False,2026-09-09T19:13:18+00:00
2026-09-09T14:05:26.13,2,14,5,11558,Jungle Annex,Facility Operations,13,36,36.1,False,2026-09-09T19:13:18+00:00
2026-09-09T14:05:26.86,2,14,5,9721,Indoor Track,Facility Operations,10,50,20.0,False,2026-09-09T19:13:18+00:00
2026-09-09T14:09:00.12,2,14,9,10220,Brewer Courts,Facility Operations,4,50,8.0,False,2026-09-09T19:13:18+00:00
2026-09-09T14:09:01.307,2,14,9,9720,South Courts,Facility Operations,2,40,5.0,False,2026-09-09T19:13:18+00:00
2026-09-09T14:09:02.277,2,14,9,9722,North Courts,Facility Operations,0,40,0.0,False,2026-09-09T19:13:18+00:00
2026-09-09T14:09:03.057,2,14,9,9717,Weight Room,Facility Operations,27,55,49.1,False,2026-09-09T19:13:18+00:00
2026-09-09T14:09:03.853,2,14,9,9728,Boxing Gym,Facility Operations,1,16,6.2,False,2026-09-09T19:13:18+00:00
2026-09-09T14:09:04.807,2,14,9,9727,Functional Fitness,Facility Operations,1,10,10.0,False,2026-09-09T19:13:18+00:00
2026-09-09T16:18:23.233,2,16,18,9712,Cardio Gallery,Facility Operations,27,89,30.3,False,2026-09-09T21:25:03+00:00
2026-09-09T16:18:24.517,2,16,18,10596,Strength Training,Facility Operations,49,90,54.4,False,2026-09-09T21:25:03+00:00
2026-09-09T16:18:25.377,2,16,18,11558,Jungle Annex,Facility Operations,21,36,58.3,False,2026-09-09T21:25:03+00:00
2026-09-09T16:18:26.19,2,16,18,9721,Indoor Track,Facility Operations,20,50,40.0,False,2026-09-09T21:25:03+00:00
2026-09-09T17:11:45.133,2,17,11,10220,Brewer Courts,Facility Operations,0,50,0.0,True,2026-09-09T22:15:50+00:00
